0751720M;Université Paris-Sorbonne;;Université;Public;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;Paris;Paris;Paris;Île-de-France;1 RUE VICTOR COUSIN;75230;PARIS CEDEX 05;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);21086;20905;21244;20630;19698;20067
0692566P;École nationale des travaux publics de l'État;ENTPE;École extérieure relevant d'un autre département ministériel;Public;;Auvergne-Rhône-Alpes>Lyon>Rhône>Vaulx-en-Velin;69256;Vaulx-en-Velin;Lyon;Rhône;Lyon;Auvergne-Rhône-Alpes;3 RUE MAURICE AUDIN;69518;VAULX EN VELIN CEDEX;France;Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer;615;620;580;575;591;667
0694123G;École normale supérieure de Lyon;ENS de Lyon;École normale supérieure;Public;;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon 7e;69387;Lyon 7e;Lyon;Rhône;Lyon;Auvergne-Rhône-Alpes;15 PARVIS RENE DESCARTES;69342;LYON CEDEX 07;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);1528;1612;1790;1820;2053;1928
0751718K;Université Panthéon-Assas;;Université;Public;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;Paris;Paris;Paris;Île-de-France;12 PLACE DU PANTHEON;75231;PARIS CEDEX 05;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);15602;15371;15804;16526;16592;16989
0730858L;Université de Savoie;;Université;Public;;Auvergne-Rhône-Alpes>Grenoble>Savoie>Chambéry;73065;Chambéry;Chambéry;Savoie;Grenoble;Auvergne-Rhône-Alpes;27 RUE MARCOZ;73011;CHAMBERY CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);11650;11890;12478;12487;12611;13213
0753375L;École nationale supérieure de chimie de Paris;ENS Chimie de Paris;Écoles nationales supérieures d'ingénieurs;Public;Université Pierre et Marie Curie;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;Paris;Paris;Paris;Île-de-France;11 RUE PIERRE ET MARIE CURIE;75231;PARIS CEDEX 05;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);298;321;326;317;322;320
0694094A;Université de Lyon;UDL;Communauté d'universités et établissements;Public;;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon 7e;69387;Lyon 7e;Lyon;Rhône;Lyon;Auvergne-Rhône-Alpes;92 RUE PASTEUR;69361;LYON CEDEX 07;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0772502B;Université Paris-Est Marne-la-Vallée;UPEM;Université;Public;;Île-de-France>Créteil>Seine-et-Marne>Champs-sur-Marne;77083;Champs-sur-Marne;Paris;Seine-et-Marne;Créteil;Île-de-France;5 BOULEVARD DESCARTES;77454;MARNE LA VALLEE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);10522;10691;10479;10639;10556;11228
0870669E;Université de Limoges;;Université;Public;;Nouvelle-Aquitaine>Limoges>Haute-Vienne>Limoges;87085;Limoges;Limoges;Haute-Vienne;Limoges;Nouvelle-Aquitaine;33 RUE FRANCOIS MITTERAND;87032;LIMOGES CEDEX 01;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);14274;14199;14568;14796;14950;15034
0761904G;Université de Rouen;;Université;Public;;Normandie>Rouen>Seine-Maritime>Mont-Saint-Aignan;76451;Mont-Saint-Aignan;Rouen;Seine-Maritime;Rouen;Normandie;1 RUE THOMAS BECKET;76821;MONT ST AIGNAN CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);23942;24145;25180;25450;25304;26682
